[2018-06-06 17:35:34,641]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:35:38,240]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:35:38,574]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:35:53,673]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:42:19,076]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:42:19,785]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:42:23,405]-[log.py]-INFO:输入用户名
[2018-06-06 17:42:23,650]-[log.py]-INFO:输入密码
[2018-06-06 17:42:23,821]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:42:24,045]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:42:29,216]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:42:32,787]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:42:33,065]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:42:37,969]-[log.py]-INFO:user2在第4行
[2018-06-06 17:42:51,620]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:01:14,711]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:01:15,924]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:01:19,765]-[log.py]-INFO:输入用户名
[2018-06-06 18:01:20,014]-[log.py]-INFO:输入密码
[2018-06-06 18:01:20,176]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:01:20,370]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:01:25,450]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:01:25,756]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:01:29,314]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:01:29,630]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:01:34,608]-[log.py]-INFO:user2在第4行
[2018-06-06 18:01:34,889]-[log.py]-ERROR:删除user2异常！
[2018-06-06 18:01:34,893]-[log.py]-ERROR:Alert Text: None
Message: unexpected alert open: {Alert text : 您确定要执行删除操作吗？}
  (Session info: chrome=66.0.3359.181)
  (Driver info: chromedriver=2.35.528161 (5b82f2d2aae0ca24b877009200ced9065a772e73),platform=Windows NT 6.1.7601 SP1 x86_64)

[2018-06-06 18:01:34,896]-[log.py]-INFO:点击删除按钮，删除user2
[2018-06-06 18:01:39,560]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:06:37,421]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:06:38,405]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:06:42,015]-[log.py]-INFO:输入用户名
[2018-06-06 18:06:42,275]-[log.py]-INFO:输入密码
[2018-06-06 18:06:42,449]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:06:42,648]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:06:47,567]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:06:47,883]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:06:51,501]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:06:51,783]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:06:56,770]-[log.py]-INFO:user7在第9行
[2018-06-06 18:06:57,014]-[log.py]-ERROR:删除user7异常！
[2018-06-06 18:06:57,016]-[log.py]-ERROR:Alert Text: None
Message: unexpected alert open: {Alert text : 您确定要执行删除操作吗？}
  (Session info: chrome=66.0.3359.181)
  (Driver info: chromedriver=2.35.528161 (5b82f2d2aae0ca24b877009200ced9065a772e73),platform=Windows NT 6.1.7601 SP1 x86_64)

[2018-06-06 18:06:57,018]-[log.py]-INFO:点击删除按钮，删除user7
[2018-06-06 18:07:00,435]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:16:12,884]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:16:14,617]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:16:18,206]-[log.py]-INFO:输入用户名
[2018-06-06 18:16:18,455]-[log.py]-INFO:输入密码
[2018-06-06 18:16:18,625]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:16:18,808]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:16:23,852]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:16:24,191]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:16:27,713]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:16:28,016]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:16:33,031]-[log.py]-INFO:user7在第9行显示1
[2018-06-06 18:16:34,311]-[log.py]-ERROR:删除user7异常！
[2018-06-06 18:16:34,315]-[log.py]-ERROR:Alert Text: None
Message: unexpected alert open: {Alert text : 您确定要执行删除操作吗？}
  (Session info: chrome=66.0.3359.181)
  (Driver info: chromedriver=2.35.528161 (5b82f2d2aae0ca24b877009200ced9065a772e73),platform=Windows NT 6.1.7601 SP1 x86_64)

[2018-06-06 18:16:34,318]-[log.py]-INFO:点击删除按钮，删除user7
[2018-06-06 18:16:38,182]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:24:52,243]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:24:53,047]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:24:56,694]-[log.py]-INFO:输入用户名
[2018-06-06 18:24:56,971]-[log.py]-INFO:输入密码
[2018-06-06 18:24:57,145]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:24:57,335]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:25:02,283]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:25:02,635]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:25:06,236]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:25:06,550]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:25:11,564]-[log.py]-INFO:user7在第9行显示1
[2018-06-06 18:25:14,816]-[log.py]-ERROR:删除user7异常！
[2018-06-06 18:25:14,819]-[log.py]-ERROR:Alert Text: None
Message: unexpected alert open: {Alert text : 您确定要执行删除操作吗？}
  (Session info: chrome=66.0.3359.181)
  (Driver info: chromedriver=2.35.528161 (5b82f2d2aae0ca24b877009200ced9065a772e73),platform=Windows NT 6.1.7601 SP1 x86_64)

[2018-06-06 18:25:14,821]-[log.py]-INFO:点击删除按钮，删除user7
[2018-06-06 18:25:19,876]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:25:19,958]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/user-admin.html
[2018-06-06 18:25:40,089]-[log.py]-ERROR:删除user9异常！
[2018-06-06 18:25:40,093]-[log.py]-ERROR:Message: no such element: Unable to locate element: {"method":"link text","selector":"下页"}
  (Session info: chrome=66.0.3359.181)
  (Driver info: chromedriver=2.35.528161 (5b82f2d2aae0ca24b877009200ced9065a772e73),platform=Windows NT 6.1.7601 SP1 x86_64)

[2018-06-06 18:25:40,096]-[log.py]-INFO:点击删除按钮，删除user9
[2018-06-06 18:25:47,691]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:34:29,340]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:34:30,086]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:34:33,661]-[log.py]-INFO:输入用户名
[2018-06-06 18:34:33,939]-[log.py]-INFO:输入密码
[2018-06-06 18:34:34,104]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:34:34,311]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:34:39,236]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:34:39,500]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:34:43,001]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:34:43,286]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:34:51,191]-[log.py]-INFO:user12在第1行显示N
[2018-06-06 18:34:54,438]-[log.py]-ERROR:user12处理OK！
[2018-06-06 18:34:54,442]-[log.py]-INFO:点击删除按钮，删除user12
[2018-06-06 18:34:59,497]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:35:02,572]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/user-admin-0-normal--id_asc-29-10-2.html
[2018-06-06 18:35:02,794]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:35:06,322]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:35:06,573]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:35:11,579]-[log.py]-INFO:user9在第9行显示1
[2018-06-06 18:35:14,814]-[log.py]-ERROR:user9处理OK！
[2018-06-06 18:35:14,817]-[log.py]-INFO:点击删除按钮，删除user9
[2018-06-06 18:35:19,838]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:35:27,430]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:38:24,956]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:38:25,728]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:38:29,347]-[log.py]-INFO:输入用户名
[2018-06-06 18:38:29,601]-[log.py]-INFO:输入密码
[2018-06-06 18:38:29,796]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:38:29,992]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:38:35,047]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:38:35,338]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:38:38,879]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:38:39,168]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:38:50,104]-[log.py]-INFO:user40在第4行显示N
[2018-06-06 18:38:53,393]-[log.py]-ERROR:user40处理OK！
[2018-06-06 18:38:53,396]-[log.py]-INFO:点击删除按钮，删除user40
[2018-06-06 18:38:58,457]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:39:21,569]-[log.py]-INFO:成员列表中没有该用户user40，已被成功删除！
[2018-06-06 18:39:21,586]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/user-admin-0-normal--id_asc-27-10-3.html
[2018-06-06 18:39:21,837]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:39:25,473]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:39:25,885]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:39:36,625]-[log.py]-INFO:user41在第4行显示N
[2018-06-06 18:39:39,905]-[log.py]-ERROR:user41处理OK！
[2018-06-06 18:39:39,908]-[log.py]-INFO:点击删除按钮，删除user41
[2018-06-06 18:39:44,971]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:40:08,079]-[log.py]-INFO:成员列表中没有该用户user41，已被成功删除！
[2018-06-06 18:40:11,336]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:43:33,357]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:43:34,076]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:43:37,668]-[log.py]-INFO:输入用户名
[2018-06-06 18:43:37,932]-[log.py]-INFO:输入密码
[2018-06-06 18:43:38,113]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:43:38,301]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:43:43,344]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:43:43,649]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:43:47,216]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:43:47,485]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:43:58,090]-[log.py]-INFO:user39在第3行显示N
[2018-06-06 18:44:01,324]-[log.py]-ERROR:user39处理OK！
[2018-06-06 18:44:01,326]-[log.py]-INFO:点击删除按钮，删除user39
[2018-06-06 18:44:06,337]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:44:29,541]-[log.py]-INFO:成员列表中没有该用户user39，已被成功删除！
[2018-06-06 18:44:29,559]-[log.py]-INFO:成功连接上数据库!
[2018-06-06 18:44:29,573]-[log.py]-INFO:成功获取到想要对比的字段
[2018-06-06 18:44:29,574]-[log.py]-INFO:数据库校验成功，确实有新增的字段记录user39
[2018-06-06 18:44:29,588]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/user-admin-0-normal--id_asc-25-10-3.html
[2018-06-06 18:44:29,802]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:44:33,394]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:44:33,685]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:44:44,279]-[log.py]-INFO:user42在第3行显示N
[2018-06-06 18:44:47,509]-[log.py]-ERROR:user42处理OK！
[2018-06-06 18:44:47,510]-[log.py]-INFO:点击删除按钮，删除user42
[2018-06-06 18:44:52,523]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:45:15,809]-[log.py]-INFO:成员列表中没有该用户user42，已被成功删除！
[2018-06-06 18:45:15,826]-[log.py]-INFO:成功连接上数据库!
[2018-06-06 18:45:15,841]-[log.py]-INFO:成功获取到想要对比的字段
[2018-06-06 18:45:15,842]-[log.py]-INFO:数据库校验成功，确实有新增的字段记录user42
[2018-06-06 18:45:19,307]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:51:34,845]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:51:36,214]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:51:39,777]-[log.py]-INFO:输入用户名
[2018-06-06 18:51:40,033]-[log.py]-INFO:输入密码
[2018-06-06 18:51:40,190]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:51:40,377]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:51:45,713]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:51:46,031]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:51:49,597]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:51:49,898]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:51:57,746]-[log.py]-INFO:user18在第4行显示N
[2018-06-06 18:52:00,984]-[log.py]-ERROR:user18处理OK！
[2018-06-06 18:52:00,987]-[log.py]-INFO:点击删除按钮，删除user18
[2018-06-06 18:52:06,051]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-06 18:52:20,649]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:53:38,916]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:53:39,662]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:53:43,294]-[log.py]-INFO:输入用户名
[2018-06-06 18:53:43,558]-[log.py]-INFO:输入密码
[2018-06-06 18:53:43,723]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:53:43,907]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:53:49,046]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:53:49,334]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 18:53:52,874]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 18:53:53,159]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 18:54:13,711]-[log.py]-ERROR:user18处理OK！
[2018-06-06 18:54:13,715]-[log.py]-INFO:点击删除按钮，删除user18
[2018-06-06 18:54:22,983]-[log.py]-INFO:邮件发送成功!
[2018-06-06 18:55:33,801]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 18:55:34,616]-[log.py]-INFO:成功选择简体中文
[2018-06-06 18:55:38,202]-[log.py]-INFO:输入用户名
[2018-06-06 18:55:38,506]-[log.py]-INFO:输入密码
[2018-06-06 18:55:38,683]-[log.py]-INFO:点击“保持登录”
[2018-06-06 18:55:38,893]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 18:55:43,899]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-06 18:55:44,186]-[log.py]-INFO:成功点击“后台管理”按钮
