[2018-06-03 17:30:02,645]-[log.py]-INFO:输入用户名
[2018-06-03 17:30:02,920]-[log.py]-INFO:输入密码
[2018-06-03 17:30:03,098]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:30:03,306]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 21:15:27,287]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 21:15:28,060]-[log.py]-INFO:成功选择简体中文
[2018-06-03 21:15:31,778]-[log.py]-INFO:输入用户名
[2018-06-03 21:15:32,041]-[log.py]-INFO:输入密码
[2018-06-03 21:15:32,208]-[log.py]-INFO:点击“保持登录”
[2018-06-03 21:15:32,392]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 21:15:38,211]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:15:41,887]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:15:42,175]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:15:45,022]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:15:50,103]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:15:50,359]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:15:50,602]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:15:50,850]-[log.py]-INFO:部门选择“销售”
[2018-06-03 21:15:51,145]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:15:51,472]-[log.py]-INFO:输入密码
[2018-06-03 21:15:51,744]-[log.py]-INFO:再次输入密码
[2018-06-03 21:15:52,113]-[log.py]-INFO:输入邮箱
[2018-06-03 21:15:52,441]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:15:52,959]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:15:56,022]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:16:36,928]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 21:16:38,650]-[log.py]-INFO:成功选择简体中文
[2018-06-03 21:16:42,441]-[log.py]-INFO:输入用户名
[2018-06-03 21:16:42,697]-[log.py]-INFO:输入密码
[2018-06-03 21:16:42,874]-[log.py]-INFO:点击“保持登录”
[2018-06-03 21:16:43,057]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 21:16:48,724]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:16:52,286]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:16:52,576]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:16:55,356]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:17:00,180]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:17:00,462]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:17:00,738]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:17:01,010]-[log.py]-INFO:部门选择“销售”
[2018-06-03 21:17:01,286]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:17:01,618]-[log.py]-INFO:输入密码
[2018-06-03 21:17:01,894]-[log.py]-INFO:再次输入密码
[2018-06-03 21:17:02,290]-[log.py]-INFO:输入邮箱
[2018-06-03 21:17:02,633]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:17:03,117]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:17:06,218]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:17:06,565]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
